Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_155,POINT (2200 5529),2200,5529,22.93416099347866,70.23061406423896,150.0,150.0,Passenger_ship,23
target_156,POINT (2335 5575),2335,5575,22.93232908197337,70.21681810131847,30.0,30.0,Tugs_ship,24
target_157,POINT (789 5411),789,5411,22.920483962791728,70.36784201478049,240.0,140.0,Passenger_ship,25
target_158,POINT (608 5507),608,5507,22.908692117527075,70.38332038731323,100.0,60.0,Passenger_ship,26
target_165,POINT (2617 5943),2617,5943,22.903914750073337,70.18304003652247,170.0,170.0,Passenger_ship,27
target_166,POINT (1285 5722),1285,5722,22.90094546121495,70.31457425647797,90.0,60.0,Passenger_ship,28
target_167,POINT (1406 5731),1406,5731,22.902266376097522,70.30279001510715,60.0,50.0,Tugs_ship,29
target_170,POINT (3400 6198),3400,6198,22.89422779800268,70.10339839231426,30.0,20.0,Fishing_Ship,30
target_171,POINT (3368 6247),3368,6247,22.889251598769544,70.10555910777798,30.0,20.0,Fishing_Ship,31
target_172,POINT (3382 6256),3382,6256,22.88872309620232,70.10406305725374,150.0,150.0,Passenger_ship,32
target_173,POINT (3396 6271),3396,6271,22.887607160071703,70.1024474469833,70.0,50.0,Tugs_ship,33
target_174,POINT (2879 6344),2879,6344,22.87215841537837,70.150573607756,90.0,70.0,Passenger_ship,34
target_175,POINT (2300 6276),2300,6276,22.868334048136028,70.20716574240114,80.0,80.0,Passenger_ship,35
target_176,POINT (3479 6531),3479,6531,22.865485681578,70.08971440361019,130.0,160.0,Passenger_ship,36
target_186,POINT (3237 6677),3237,6677,22.84820114854143,70.11014125226586,80.0,90.0,Passenger_ship,37
target_187,POINT (3802 6971),3802,6971,22.831297363002786,70.05073849523556,170.0,110.0,Passenger_ship,38
target_188,POINT (17360 6692),17360,6692,23.08284816881115,68.75651211221864,50.0,60.0,Passenger_ship,39
target_189,POINT (17367 6688),17367,6688,23.083331532318763,68.75586212743255,40.0,40.0,Tugs_ship,40
target_190,POINT (17360 6692),17360,6692,23.08284816881115,68.75651211221864,50.0,60.0,Passenger_ship,41
target_191,POINT (20193 6833),20193,6833,23.116082616797772,68.48202659691157,30.0,40.0,Tugs_ship,42
target_192,POINT (20406 6789),20406,6789,23.123494078239474,68.46232978635379,70.0,100.0,Passenger_ship,43
target_193,POINT (3858 7087),3858,7087,22.821736539684487,70.0431949094525,220.0,140.0,Passenger_ship,44
target_194,POINT (3952 7304),3952,7304,22.803774421381068,70.03022728189516,280.0,150.0,Passenger_ship,45
target_195,POINT (3740 7325),3740,7325,22.798243734499607,70.05016405427753,190.0,170.0,Passenger_ship,46
target_196,POINT (3986 7092),3986,7092,22.823459195880385,70.03090562367608,190.0,180.0,Passenger_ship,47
target_197,POINT (4184 7131),4184,7131,22.823319351755966,70.01120001639917,220.0,180.0,Passenger_ship,48
